"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21490","22880","23630","24130","25340","25930","25640","26790","27310","27020","29820","30960","29680","31660","33900","27980","34400","32340","37310","33150","31800","32030","32580","33740","34340","34460","34480","35450","36710","37340","28180","34420","40060","41080","",
"Africa Eastern and Southern","AFE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1718.31249566342","1729.56826839772","1646.98849383389","1669.56220524103","1678.86075912009","1780.29146067569","1864.24941196438","1938.8876643817","1939.35951206281","1959.4166782419","2027.44065809928","2092.81462296162","2160.32913219904","2224.21513922959","2350.11202883949","2506.20832760994","2679.55082069105","2843.72953539872","2932.32720648085","2918.41792012907","3000.29622787116","3109.61450376703","3058.04800367184","3163.42492275259","3310.42996132663","3350.29273051891","3462.521989802","3596.39478456826","3538.7624284912","3632.38513440455","3544.01447634565","3808.43143217418","4120.387348444","4247.93496080126","4365.06654696299",
"Afghanistan","AFG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","790","750","940","980","980","1090","1140","1300","1330","1570","1770","1740","1990","2140","2230","2300","2240","2360","2460","2620","2580","2160","2130","2210","",
"Africa Western and Central","AFW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3010.44555123639","3117.42674419161","3274.7097663296","3410.3566296813","3545.01779241589","3688.11127576765","3979.57373581696","3976.65886366241","3941.66415563232","3979.46289876957","4112.159632648","4373.92705830035","4412.47896106598","4614.30677243548","5001.28408116069","5207.09531992236","5429.68194256249",
"Angola","AGO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3050","3370","1660","1520","1280","2390","2460","2870","2860","2670","2830","2940","3420","3500","3810","4340","4770","5390","5620","5870","5970","6130","6760","7010","7500","6760","6490","6560","6780","6850","5870","6800","7320","7280","7660",
"Albania","ALB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2650","1960","1810","2190","2400","2820","3120","2820","3180","3630","4090","4590","4960","5300","5720","6130","6950","7790","8510","8890","9660","10280","10380","10770","11420","11890","12400","13040","13680","14600","14270","15900","19110","20990","23310",
"Andorra","AND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63070","58900","63830","71410","74250","78170",
"Arab World","ARB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7015.52926602093","7231.76190284342","7639.0051515401","7805.85863628733","7931.84166322227","8160.03129560337","8466.36112020373","8882.63741395622","9269.64858395903","9292.44687111908","9921.93291910053","10117.3413141504","10042.6855732036","10347.4928415192","11409.2088762383","12124.3538916714","13055.2059038015","13735.5591429368","14343.9842527091","14114.2444812533","14597.3390853022","15113.3601028752","16039.6167588679","15963.9361404001","15776.7867505195","14327.9667058637","13855.432632815","14446.6184492485","15429.7009405149","15572.5551127769","14159.277438132","15891.9398346498","17766.7497529113","18300.5766336417","18604.9167330003",
"United Arab Emirates","ARE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92650","88290","88090","86300","89500","94740","94660","97430","93670","86100","95770","93190","87690","91020","97450","101170","107240","102310","94140","84200","83650","87740","87410","85610","85380","72060","68090","68530","75320","77260","65000","67280","73790","76680","78110",
"Argentina","ARG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6840","7710","8510","9350","9960","9710","10280","11160","11540","11160","11190","10800","9450","10490","10770","11930","14350","16020","16850","15680","17240","18560","18970","19500","19090","19530","19660","22790","23540","22590","21790","25770","29050","29460","29570",
