Entity,Code,Year,"Labor force participation rate, female (% of female population ages 15+) (national estimate)"
Afghanistan,AFG,1979,6.83
Afghanistan,AFG,2008,43.79
Afghanistan,AFG,2012,16.015
Afghanistan,AFG,2014,25.784
Afghanistan,AFG,2017,21.171
Afghanistan,AFG,2020,16.496
Afghanistan,AFG,2021,23.3
Albania,ALB,1960,36.35
Albania,ALB,1989,46.76
Albania,ALB,1990,45.22
Albania,ALB,1991,44.52
Albania,ALB,1992,44.18
Albania,ALB,1993,36.54
Albania,ALB,1995,32.54
Albania,ALB,1996,30.74
Albania,ALB,1997,43.6
Albania,ALB,1998,44.1
Albania,ALB,1999,43.4
Albania,ALB,2000,44.3
Albania,ALB,2002,49.28
Albania,ALB,2003,27.17
Albania,ALB,2004,27.28
Albania,ALB,2005,27.3
Albania,ALB,2006,27.31
Albania,ALB,2007,36.727
Albania,ALB,2008,45.657
Albania,ALB,2009,46.128
Albania,ALB,2010,46.862
Albania,ALB,2011,52.49
Albania,ALB,2012,48.842
Albania,ALB,2013,43.945
Albania,ALB,2014,43.984
Albania,ALB,2015,47.036
Albania,ALB,2016,49.733
Albania,ALB,2017,49.567
Albania,ALB,2018,51.322
Albania,ALB,2019,52.874
Algeria,DZA,1966,2.91
Algeria,DZA,1975,3.29
Algeria,DZA,1977,3.79
Algeria,DZA,1983,2.44
Algeria,DZA,1984,5.93
Algeria,DZA,1985,8.53
Algeria,DZA,1987,7.78
Algeria,DZA,1996,11.82
Algeria,DZA,1997,7.37
Algeria,DZA,2000,6.65
Algeria,DZA,2009,13.95
Algeria,DZA,2010,14.16
Algeria,DZA,2012,15.8
Algeria,DZA,2013,16.6
Algeria,DZA,2014,15.578
Algeria,DZA,2015,16.3
Algeria,DZA,2016,16.94
Algeria,DZA,2017,17.13
American Samoa,ASM,1960,42.51
American Samoa,ASM,1970,14.57
American Samoa,ASM,1974,38.27
American Samoa,ASM,1980,34.01
American Samoa,ASM,1990,42.37
Angola,AGO,1960,7.6
Angola,AGO,2004,62.68
Angola,AGO,2009,60.924
Angola,AGO,2010,75.66
Angola,AGO,2011,85.57
Angola,AGO,2014,37.021
Angola,AGO,2019,73.025
Angola,AGO,2021,74.725
Antigua and Barbuda,ATG,1960,23.4
Antigua and Barbuda,ATG,1970,43.98
Antigua and Barbuda,ATG,1991,59.92
Antigua and Barbuda,ATG,2001,66.24
Argentina,ARG,1960,23.23
Argentina,ARG,1970,26.49
Argentina,ARG,1977,29
Argentina,ARG,1978,29.39
Argentina,ARG,1979,29.74
Argentina,ARG,1980,27.36
Argentina,ARG,1983,27.85
Argentina,ARG,1985,28.04
